Thoi gian, Nhiet do, Muc Nuoc
2026-07-25 00:00:00,21.7,50.0
2026-07-25 00:00:00,29.0,50.0
2026-07-25 00:00:00,25.5,50.0
2026-07-25 00:00:00,27.6,50.0
2026-07-25 00:00:00,27.9,50.0
2026-07-25 00:00:00,20.6,50.0
2026-07-25 00:00:00,23.9,50.0
2026-07-25 00:00:00,26.4,50.0
2026-07-25 00:00:00,21.6,50.0
2026-07-25 00:00:00,24.3,50.0
2026-07-25 00:00:00,29.6,50.0
2026-07-25 00:00:00,29.8,50.0
2026-07-25 00:00:00,22.0,50.0
2026-07-25 00:00:00,24.4,50.0
2026-07-25 00:00:00,21.3,50.0
2026-07-25 00:00:00,24.9,50.0
2026-07-25 00:00:00,24.1,50.0
2026-07-25 00:00:00,25.0,50.0
2026-07-25 00:00:00,26.8,50.0
2026-07-25 00:00:00,22.2,50.0
2026-07-25 00:00:00,26.4,50.0
2026-07-25 00:00:00,26.5,50.0
2026-07-25 00:00:00,26.1,50.0
2026-07-25 00:00:00,21.1,50.0
2026-07-25 00:00:00,27.6,50.0
2026-07-25 00:00:00,28.1,50.0
2026-07-25 00:00:00,21.9,50.0
2026-07-25 00:00:00,26.3,50.0
2026-07-25 00:00:00,28.9,50.0
2026-07-25 00:00:00,26.4,50.0
2026-07-25 00:00:00,20.3,50.0
2026-07-25 00:00:00,26.8,50.0
